,Unnamed: 0,Dte.,Barris,1r Trimestre,2n Trimestre,3r Trimestre,Unnamed: 0,1r Trimestre,2n Trimestre,3r Trimestre,1r Trimestre 2016,2n Trimestre 2016,3r Trimestre 2016,4rt Trimestre 2016,1r Trimestre 2017
34,34,7,34. Can BarÃ³,"568,94","525,04","536,04",34,"568,94","525,04","536,04",34. Can Baró,"568,94","525,04","536,04",34. Can Baró
35,35,7,35. el GuinardÃ³,"586,50","564,10","585,39",35,"586,50","564,10","585,39",35. el Guinardó,"586,50","564,10","585,39",35. el Guinardó
36,36,7,36. la Font d'en Fargues,"585,45","772,41","703,15",36,"585,45","772,41","703,15",36. la Font d'en Fargues,"585,45","772,41","703,15",36. la Font d'en Fargues
37,37,7,37. el Carmel,"478,70","495,01","498,79",37,"478,70","495,01","498,79",37. el Carmel,"478,70","495,01","498,79",37. el Carmel
38,38,7,38. la Teixonera,"492,79","476,94","469,77",38,"492,79","476,94","469,77",38. la Teixonera,"492,79","476,94","469,77",38. la Teixonera
39,39,7,39. Sant GenÃ­s dels Agudells,"557,00","568,75","542,51",39,"557,00","568,75","542,51",39. Sant Genís dels Agudells,"557,00","568,75","542,51",39. Sant Genís dels Agudells
40,40,7,40. Montbau,"537,94","535,88","578,50",40,"537,94","535,88","578,50",40. Montbau,"537,94","535,88","578,50",40. Montbau
41,41,7,41. la Vall d'Hebron,"737,73","675,63","715,00",41,"737,73","675,63","715,00",41. la Vall d'Hebron,"737,73","675,63","715,00",41. la Vall d'Hebron
42,42,7,42. la Clota,,,,42,,,,42. la Clota,,,,42. la Clota
43,43,7,43. Horta,"556,30","566,67","562,86",43,"556,30","566,67","562,86",43. Horta,"556,30","566,67","562,86",43. Horta
44,44,8,44. Vilapicina i la Torre Llobeta,"555,89","573,24","567,26",44,"555,89","573,24","567,26",44. Vilapicina i la Torre Llobeta,"555,89","573,24","567,26",44. Vilapicina i la Torre Llobeta
45,45,8,45. Porta,"523,29","517,06","522,70",45,"523,29","517,06","522,70",45. Porta,"523,29","517,06","522,70",45. Porta
46,46,8,46. el TurÃ³ de la Peira,"475,06","461,25","459,42",46,"475,06","461,25","459,42",46. el Turó de la Peira,"475,06","461,25","459,42",46. el Turó de la Peira
47,47,8,47. Can Peguera,"241,99","295,39","145,45",47,"241,99","295,39","145,45",47. Can Peguera,"241,99","295,39","145,45",47. Can Peguera
48,48,8,48. la Guineueta,"613,58","613,14","607,74",48,"613,58","613,14","607,74",48. la Guineueta,"613,58","613,14","607,74",48. la Guineueta
49,49,8,49. Canyelles,"563,33","474,29","532,67",49,"563,33","474,29","532,67",49. Canyelles,"563,33","474,29","532,67",49. Canyelles
50,50,8,50. les Roquetes,"461,28","448,60","444,29",50,"461,28","448,60","444,29",50. les Roquetes,"461,28","448,60","444,29",50. les Roquetes
51,51,8,51. Verdun,"503,47","465,56","484,98",51,"503,47","465,56","484,98",51. Verdun,"503,47","465,56","484,98",51. Verdun
52,52,8,52. la Prosperitat,"521,81","501,40","479,48",52,"521,81","501,40","479,48",52. la Prosperitat,"521,81","501,40","479,48",52. la Prosperitat
53,53,8,53. la Trinitat Nova,"442,94","449,31","416,65",53,"442,94","449,31","416,65",53. la Trinitat Nova,"442,94","449,31","416,65",53. la Trinitat Nova
54,54,8,54. Torre BarÃ³,,"320,21",,54,,"320,21",,54. Torre Baró,,"320,21",,54. Torre Baró
55,55,8,55. Ciutat Meridiana,"359,27","406,17","372,44",55,"359,27","406,17","372,44",55. Ciutat Meridiana,"359,27","406,17","372,44",55. Ciutat Meridiana
56,56,8,56. Vallbona,,,,56,,,,56. Vallbona,,,,56. Vallbona
57,57,9,57. la Trinitat Vella,"461,10","407,26","419,12",57,"461,10","407,26","419,12",57. la Trinitat Vella,"461,10","407,26","419,12",57. la Trinitat Vella
58,58,9,58. BarÃ³ de Viver,,"231,40",,58,,"231,40",,58. Baró de Viver,,"231,40",,58. Baró de Viver
59,59,9,59. el Bon Pastor,"488,14","476,31","503,93",59,"488,14","476,31","503,93",59. el Bon Pastor,"488,14","476,31","503,93",59. el Bon Pastor
60,60,9,60. Sant Andreu,"581,16","573,12","593,22",60,"581,16","573,12","593,22",60. Sant Andreu,"581,16","573,12","593,22",60. Sant Andreu
61,61,9,61. la Sagrera,"626,26","622,71","570,36",61,"626,26","622,71","570,36",61. la Sagrera,"626,26","622,71","570,36",61. la Sagrera
62,62,9,62. el CongrÃ©s i els Indians,"563,42","556,26","596,63",62,"563,42","556,26","596,63",62. el Congrés i els Indians,"563,42","556,26","596,63",62. el Congrés i els Indians
63,63,9,63. Navas,"613,47","590,17","635,11",63,"613,47","590,17","635,11",63. Navas,"613,47","590,17","635,11",63. Navas
64,64,10,64. el Camp de l'Arpa del Clot,"580,09","592,63","604,83",64,"580,09","592,63","604,83",64. el Camp de l'Arpa del Clot,"580,09","592,63","604,83",64. el Camp de l'Arpa del Clot
65,65,10,65. el Clot,"604,85","641,11","607,62",65,"604,85","641,11","607,62",65. el Clot,"604,85","641,11","607,62",65. el Clot
66,66,10,66. el Parc i la Llacuna del Poblenou,"704,67","678,23","739,94",66,"704,67","678,23","739,94",66. el Parc i la Llacuna del Poblenou,"704,67","678,23","739,94",66. el Parc i la Llacuna del Poblenou
67,67,10,67. la Vila OlÃ­mpica del Poblenou,"926,43","988,89","1.121,06",67,"926,43","988,89","1.121,06",67. la Vila Olímpica del Poblenou,"926,43","988,89","1.121,06",67. la Vila Olímpica del Poblenou
68,68,10,68. el Poblenou,"663,93","644,01","652,23",68,"663,93","644,01","652,23",68. el Poblenou,"663,93","644,01","652,23",68. el Poblenou
69,69,10,69. Diagonal Mar i el Front MarÃ­tim del Poblenou,"866,70","817,93","896,42",69,"866,70","817,93","896,42",69. Diagonal Mar i el Front Marítim del Poblenou,"866,70","817,93","896,42",69. Diagonal Mar i el Front Marítim del Poblenou
70,70,10,70. el BesÃ²s i el Maresme,"516,90","480,69","423,45",70,"516,90","480,69","423,45",70. el Besòs i el Maresme,"516,90","480,69","423,45",70. el Besòs i el Maresme
71,71,10,71. ProvenÃ§als del Poblenou,"635,70","643,46","630,29",71,"635,70","643,46","630,29",71. Provençals del Poblenou,"635,70","643,46","630,29",71. Provençals del Poblenou
72,72,10,72. Sant MartÃ­ de ProvenÃ§als,"643,66","641,75","614,55",72,"643,66","641,75","614,55",72. Sant Martí de Provençals,"643,66","641,75","614,55",72. Sant Martí de Provençals
73,73,10,73. la Verneda i la Pau,"568,68","569,14","569,84",73,"568,68","569,14","569,84",73. la Verneda i la Pau,"568,68","569,14","569,84",73. la Verneda i la Pau
