"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,11156,,,,,,,
1,"1. el Raval",484,,,,,,,
1,"2. el Barri Gòtic",203,,,,,,,
1,"3. la Barceloneta",214,,,,,,,
1,"4. Sant Pere, Santa Caterina i la Ribera",316,,,,,,,
2,"5. el Fort Pienc",240,,,,,,,
2,"6. la Sagrada Família",378,,,,,,,
2,"7. la Dreta de l'Eixample",435,,,,,,,
2,"8. l'Antiga Esquerra de l'Eixample",405,,,,,,,
2,"9. la Nova Esquerra de l'Eixample",450,,,,,,,
2,"10. Sant Antoni",255,,,,,,,
3,"11. el Poble Sec - AEI Parc Montjuïc",266,,,,,,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca",1,,,,,,,
3,"13. la Marina de Port",91,,,,,,,
3,"14. la Font de la Guatlla",62,,,,,,,
3,"15. Hostafrancs",130,,,,,,,
3,"16. la Bordeta",100,,,,,,,
3,"17. Sants - Badal",153,,,,,,,
3,"18. Sants",302,,,,,,,
4,"19. les Corts",304,,,,,,,
4,"20. la Maternitat i Sant Ramon",120,,,,,,,
4,"21. Pedralbes",40,,,,,,,
5,"22. Vallvidrera, el Tibidabo i les Planes",20,,,,,,,
5,"23. Sarrià",150,,,,,,,
5,"24. les Tres Torres",68,,,,,,,
5,"25. Sant Gervasi - la Bonanova",174,,,,,,,
5,"26. Sant Gervasi - Galvany",400,,,,,,,
5,"27. el Putxet i el Farró",278,,,,,,,
6,"28. Vallcarca i els Penitents",134,,,,,,,
6,"29. el Coll",45,,,,,,,
6,"30. la Salut",86,,,,,,,
6,"31. la Vila de Gràcia",589,,,,,,,
6,"32. el Camp d'en Grassot i Gràcia Nova",239,,,,,,,
7,"33. el Baix Guinardó",174,,,,,,,
7,"34. Can Baró",56,,,,,,,
7,"35. el Guinardó",231,,,,,,,
7,"36. la Font d'en Fargues",29,,,,,,,
7,"37. el Carmel",184,,,,,,,
7,"38. la Teixonera",77,,,,,,,
7,"39. Sant Genís dels Agudells",40,,,,,,,
7,"40. Montbau",28,,,,,,,
7,"41. la Vall d'Hebron",19,,,,,,,
7,"42. la Clota","nd",,,,,,,
7,"43. Horta",138,,,,,,,
8,"44. Vilapicina i la Torre Llobeta",152,,,,,,,
8,"45. Porta",110,,,,,,,
8,"46. el Turó de la Peira",81,,,,,,,
8,"47. Can Peguera",1,,,,,,,
8,"48. la Guineueta",69,,,,,,,
8,"49. Canyelles",13,,,,,,,
8,"50. les Roquetes",62,,,,,,,
8,"51. Verdun",46,,,,,,,
8,"52. la Prosperitat",102,,,,,,,
8,"53. la Trinitat Nova",22,,,,,,,
8,"54. Torre Baró",9,,,,,,,
8,"55. Ciutat Meridiana",30,,,,,,,
8,"56. Vallbona",4,,,,,,,
9,"57. la Trinitat Vella",39,,,,,,,
9,"58. Baró de Viver",4,,,,,,,
9,"59. el Bon Pastor",42,,,,,,,
9,"60. Sant Andreu",267,,,,,,,
9,"61. la Sagrera",152,,,,,,,
9,"62. el Congrés i els Indians",79,,,,,,,
9,"63. Navas",110,,,,,,,
10,"64. el Camp de l'Arpa del Clot",273,,,,,,,
10,"65. el Clot",141,,,,,,,
10,"66. el Parc i la Llacuna del Poblenou",100,,,,,,,
10,"67. la Vila Olímpica del Poblenou",43,,,,,,,
10,"68. el Poblenou",222,,,,,,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou",90,,,,,,,
10,"70. el Besòs i el Maresme",63,,,,,,,
10,"71. Provençals del Poblenou",103,,,,,,,
10,"72. Sant Martí de Provençals",102,,,,,,,
10,"73. la Verneda i la Pau",77,,,,,,,
,"NC barri",440,,,,,,,
