,Barris,1st Tri 2014,2nd Tri 2014,3rd Tri 2014,4th Tri 2014,1st Tri 2015,2nd Tri 2015,3rd Tri 2015,4th Tri 2015,1st Tri 2016,2nd Tri 2016,3rd Tri 2016,4th Tri 2016,1st Tri 2017,Evolution
33,34. Can Baró,47.0,50,69.0,47.0,32.0,53,63,63,38,55,53,61,56.0,19.148936170212767
34,35. el Guinardó,201.0,239,235.0,243.0,179.0,199,203,227,226,223,219,221,231.0,14.925373134328357
35,36. la Font d'en Fargues,21.0,27,27.0,18.0,26.0,26,24,34,27,28,36,32,29.0,38.095238095238095
36,37. el Carmel,150.0,166,157.0,164.0,149.0,143,114,153,163,155,145,150,184.0,22.666666666666664
37,38. la Teixonera,54.0,59,65.0,64.0,57.0,53,59,85,72,78,76,85,77.0,42.592592592592595
38,39. Sant Genís dels Agudells,32.0,40,45.0,53.0,21.0,43,37,45,44,42,36,42,40.0,25.0
39,40. Montbau,11.0,17,23.0,19.0,20.0,29,22,33,24,36,42,39,28.0,154.54545454545453
40,41. la Vall d'Hebron,11.0,16,13.0,9.0,13.0,14,12,23,17,16,26,18,19.0,72.72727272727273
41,42. la Clota,1.0,2,3.0,2.0,3.0,2,6,1,4,4,3,4,,
42,43. Horta,109.0,114,123.0,98.0,82.0,111,115,119,138,116,125,126,138.0,26.605504587155966
43,44. Vilapicina i la Torre Llobeta,125.0,108,111.0,102.0,98.0,101,80,116,111,131,102,106,152.0,21.6
44,45. Porta,120.0,132,127.0,142.0,110.0,117,141,122,108,131,112,138,110.0,-8.333333333333332
45,46. el Turó de la Peira,69.0,92,72.0,70.0,68.0,53,59,79,74,75,71,80,81.0,17.391304347826086
46,47. Can Peguera,15.0,7,11.0,,3.0,3,3,2,1,4,5,8,1.0,-93.33333333333333
47,48. la Guineueta,53.0,70,43.0,71.0,30.0,55,40,63,74,49,62,56,69.0,30.18867924528302
48,49. Canyelles,6.0,7,15.0,11.0,3.0,6,6,6,13,7,8,10,13.0,116.66666666666667
49,50. les Roquetes,61.0,67,73.0,71.0,67.0,61,64,56,70,74,56,64,62.0,1.639344262295082
50,51. Verdun,47.0,64,61.0,60.0,57.0,72,52,55,61,63,49,59,46.0,-2.127659574468085
51,52. la Prosperitat,114.0,125,118.0,134.0,92.0,118,108,145,99,132,117,125,102.0,-10.526315789473683
52,53. la Trinitat Nova,34.0,36,23.0,31.0,23.0,25,27,38,38,22,29,27,22.0,-35.294117647058826
