Dte.,Barris,"1r Trimestre 2014","2n Trimestre 2014","3r Trimestre 2014","4rt Trimestre 2014","1r Trimestre 2014 (acumulat)","2n Trimestre 2014 (acumulat)","3r Trimestre 2014 (acumulat)","4rt Trimestre 2014 (acumulat)"
1,"1. el Raval",60.4,57.4,65.1,60.0,60.4,58.9,61.1,60.8
1,"2. el Barri Gòtic",78.1,79.9,83.6,84.3,78.1,79.0,80.6,81.6
1,"3. la Barceloneta",39.4,40.1,40.5,38.9,39.4,39.8,40.0,39.7
1,"4. Sant Pere, Santa Caterina i la Ribera",67.9,68.9,71.8,69.7,67.9,68.4,69.6,69.7
2,"5. el Fort Pienc",75.9,75.8,79.2,81.8,75.9,75.8,77.0,78.1
2,"6. la Sagrada Família",65.9,65.8,70.4,71.0,65.9,65.8,67.4,68.4
2,"7. la Dreta de l'Eixample",102.1,98.4,107.9,109.3,102.1,100.3,102.9,104.7
2,"8. l'Antiga Esquerra de l'Eixample",86.3,81.6,90.3,87.8,86.3,84.0,86.4,86.8
2,"9. la Nova Esquerra de l'Eixample",73.5,70.9,76.7,75.9,73.5,72.2,73.9,74.4
2,"10. Sant Antoni",75.3,76.9,77.4,77.5,75.3,76.0,76.5,76.8
3,"11. el Poble Sec - AEI Parc Montjuïc",58.9,59.6,60.9,61.8,58.9,59.2,59.8,60.3
3,"12. la Marina del Prat Vermell - AEI Zona Franca",70.0,90.0,n.d,91.5,70.0,80.0,80.0,85.8
3,"13. la Marina de Port",69.0,62.2,75.1,71.4,69.0,65.1,68.5,69.2
3,"14. la Font de la Guatlla",63.1,66.2,66.9,64.7,63.1,64.5,65.5,65.3
3,"15. Hostafrancs",60.5,62.1,68.3,60.9,60.5,61.3,63.6,62.9
3,"16. la Bordeta",67.9,69.5,70.7,70.3,67.9,68.7,69.4,69.6
3,"17. Sants - Badal",61.0,60.2,66.6,63.9,61.0,60.6,62.7,63.0
3,"18. Sants",64.1,63.7,67.6,68.2,64.1,63.9,65.2,66.0
4,"19. les Corts",73.3,77.9,75.5,77.8,73.3,75.6,75.5,76.1
4,"20. la Maternitat i Sant Ramon",72.4,76.8,75.9,79.0,72.4,74.5,75.1,76.2
4,"21. Pedralbes",110.9,110.9,126.4,128.9,110.9,110.9,116.3,118.9
5,"22. Vallvidrera, el Tibidabo i les Planes",120.6,175.0,96.3,104.7,120.6,130.5,116.1,112.4
5,"23. Sarrià",87.0,82.8,81.3,82.3,87.0,85.0,83.5,83.2
5,"24. les Tres Torres",97.8,106.8,110.9,109.2,97.8,102.0,105.0,106.2
5,"25. Sant Gervasi - la Bonanova",94.2,93.5,89.3,90.0,94.2,93.8,92.0,91.4
5,"26. Sant Gervasi - Galvany",96.4,98.1,102.9,101.4,96.4,97.2,99.3,99.9
5,"27. el Putxet i el Farró",75.7,76.7,76.7,76.8,75.7,76.2,76.4,76.5
6,"28. Vallcarca i els Penitents",74.2,67.0,68.1,70.3,74.2,70.3,69.5,69.7
6,"29. el Coll",64.2,62.1,64.2,58.8,64.2,63.2,63.5,62.4
6,"30. la Salut",69.0,73.6,73.0,70.3,69.0,71.1,71.7,71.3
6,"31. la Vila de Gràcia",63.9,66.1,69.1,68.0,63.9,65.0,66.4,66.8
6,"32. el Camp d'en Grassot i Gràcia Nova",69.3,67.0,71.8,71.3,69.3,68.1,69.5,70.0
7,"33. el Baix Guinardó",68.2,66.4,70.2,72.5,68.2,67.2,68.2,69.3
7,"34. Can Baró",58.6,62.8,60.7,58.5,58.6,60.6,60.7,60.2
7,"35. el Guinardó",66.0,64.5,67.1,69.1,66.0,65.3,65.9,66.8
7,"36. la Font d'en Fargues",65.5,70.8,78.1,89.4,65.5,68.2,71.6,75.5
7,"37. el Carmel",59.8,58.0,61.0,61.4,59.8,59.0,59.6,60.1
7,"38. la Teixonera",60.6,59.7,69.2,60.9,60.6,60.2,63.4,62.7
7,"39. Sant Genís dels Agudells",72.6,74.1,72.4,75.2,72.6,73.4,73.0,73.7
7,"40. Montbau",60.1,61.6,65.8,61.2,60.1,61.0,63.2,62.7
7,"41. la Vall d'Hebron",69.5,71.8,85.9,63.6,69.5,70.9,75.8,73.5
7,"42. la Clota",40.0,n.d.,n.d.,39.0,40.0,40.0,40.0,39.3
7,"43. Horta",66.0,67.7,67.4,65.8,66.0,66.8,67.0,66.7
8,"44. Vilapicina i la Torre Llobeta",65.0,64.8,69.5,71.5,65.0,64.9,66.4,67.6
8,"45. Porta",63.5,59.5,64.4,66.0,63.5,61.5,62.4,63.4
8,"46. el Turó de la Peira",67.9,60.8,63.3,62.9,67.9,63.9,63.7,63.5
8,"47. Can Peguera",38.9,40.0,47.1,n.d.,38.9,39.2,41.8,41.8
8,"48. la Guineueta",76.7,75.9,74.4,75.6,76.7,76.2,75.8,75.7
8,"49. Canyelles",81.0,84.2,77.7,75.5,81.0,82.6,80.3,78.7
8,"50. les Roquetes",55.2,57.3,60.2,62.5,55.2,56.3,57.7,59.0
8,"51. Verdun",57.9,52.8,55.0,55.7,57.9,55.0,55.0,55.2
8,"52. la Prosperitat",59.6,57.5,59.6,60.5,59.6,58.5,58.9,59.3
8,"53. la Trinitat Nova",51.0,52.7,53.2,56.6,51.0,51.8,52.2,53.3
8,"54. Torre Baró",77.5,57.0,78.3,74.5,77.5,67.3,72.0,72.6
8,"55. Ciutat Meridiana",58.0,60.0,58.7,58.9,58.0,58.8,58.7,58.8
8,"56. Vallbona",76.0,71.7,39.0,82.0,76.0,72.8,66.0,70.6
9,"57. la Trinitat Vella",58.5,65.7,68.2,56.5,58.5,61.8,64.2,62.6
9,"58. Baró de Viver",57.6,52.5,81.7,67.5,57.6,53.8,57.4,58.9
9,"59. el Bon Pastor",62.6,63.9,66.6,60.4,62.6,63.2,64.5,63.4
9,"60. Sant Andreu",66.6,64.5,67.9,66.5,66.6,65.7,66.4,66.4
9,"61. la Sagrera",69.3,67.4,68.9,71.3,69.3,68.5,68.6,69.3
9,"62. el Congrés i els Indians",63.4,61.9,66.5,70.8,63.4,62.8,64.3,66.1
9,"63. Navas",70.1,72.0,74.3,73.0,70.1,71.0,72.2,72.4
10,"64. el Camp de l'Arpa del Clot",61.3,66.8,65.7,66.6,61.3,64.0,64.6,65.1
10,"65. el Clot",64.5,65.7,70.7,72.8,64.5,65.1,67.0,68.8
10,"66. el Parc i la Llacuna del Poblenou",66.8,70.4,76.9,68.4,66.8,68.6,71.6,70.9
10,"67. la Vila Olímpica del Poblenou",83.3,78.5,91.1,90.4,83.3,80.7,83.5,85.3
10,"68. el Poblenou",62.1,64.2,69.0,69.1,62.1,63.2,65.1,66.2
10,"69. Diagonal Mar i el Front Marítim del Poblenou",75.8,76.1,91.3,185.3,75.8,75.9,79.2,92.6
10,"70. el Besòs i el Maresme",60.9,61.9,62.6,63.9,60.9,61.4,61.9,62.3
10,"71. Provençals del Poblenou",68.0,72.4,72.8,68.5,68.0,70.0,70.9,70.3
10,"72. Sant Martí de Provençals",78.3,70.7,74.4,73.1,78.3,74.3,74.3,74.0
10,"73. la Verneda i la Pau",70.6,70.4,68.7,69.1,70.6,70.5,69.8,69.7
