,Dte.,Barris,1r Trimestre 2014 ,2n Trimestre 2014,3r Trimestre 2014,4rt Trimestre 2014 ,1r Trimestre 2015,2n Trimestre 2015,3r Trimestre 2015,4rt Trimestre 2015,1r Trimestre 2016,2n Trimestre 2016,3r Trimestre 2016,4rt Trimestre 2016,1r Trimestre 2017
29,6,30. la Salut,10.2,9.82,9.49,10.21,10.2,11.6,11.0,12.4,"10,9","12,9","11,4","13,2","10,9"
30,6,31. la Vila de Gràcia,11.59,11.2,11.01,11.2,11.5,12.5,13.0,12.6,"12,7","13,2","13,6","14,3","12,7"
31,6,32. el Camp d'en Grassot i Gràcia Nova,10.29,10.72,10.45,10.07,10.6,10.9,11.0,12.2,"11,9","12,3","12,8","12,8","11,9"
32,7,33. el Baix Guinardó,9.63,9.7,9.26,9.63,10.3,10.2,10.0,11.1,"11,3","10,9","11,8","11,8","11,3"
33,7,34. Can Baró,9.97,8.95,9.18,9.62,8.7,9.9,10.0,10.7,"11,5","11,1","10,9","12,3","11,5"
34,7,35. el Guinardó,9.35,9.12,9.26,9.01,10.1,10.2,10.0,10.8,"10,8","10,5","11,5","11,7","10,8"
35,7,36. la Font d'en Fargues,9.26,9.31,9.58,8.82,9.7,10.3,9.0,14.8,"15,2","11,5","10,3","11,3","15,2"
36,7,37. el Carmel,8.41,9.0,8.47,8.66,8.6,9.2,9.0,9.3,"9,2","9,6","9,8","10,7","9,2"
37,7,38. la Teixonera,8.52,8.42,7.62,8.85,8.7,11.2,9.0,9.4,9,"9,9","9,9","11,6",9
38,7,39. Sant Genís dels Agudells,7.72,7.92,7.71,7.69,7.6,8.1,8.0,8.8,"8,4","8,6","8,7","9,1","8,4"
39,7,40. Montbau,9.48,9.02,9.35,9.26,8.9,9.7,12.0,10.1,"9,2","9,7",11,"10,7","9,2"
40,7,41. la Vall d'Hebron,10.59,9.78,9.11,10.67,9.9,9.9,11.0,10.0,11,"10,5","11,7","11,4",11
41,7,42. la Clota,,,,,,,8.0,,,,,,n.d.
42,7,43. Horta,8.85,8.67,8.92,9.3,8.9,9.6,10.0,9.8,"9,8","11,2","10,7","10,8","9,8"
43,8,44. Vilapicina i la Torre Llobeta,8.85,9.19,8.61,8.59,9.0,9.1,10.0,9.6,"10,3","10,2","10,3","11,3","10,3"
44,8,45. Porta,8.58,8.94,8.56,8.49,8.3,9.0,9.0,9.9,"9,2","9,9","10,6","10,5","9,2"
45,8,46. el Turó de la Peira,7.59,7.96,7.44,8.19,7.2,8.2,9.0,9.2,"8,9","9,5","9,7","9,6","8,9"
46,8,47. Can Peguera,6.03,6.57,3.54,,,,,,,,,"10,5",n.d.
47,8,48. la Guineueta,8.11,8.15,8.3,8.3,8.3,8.1,8.0,8.2,"8,5","8,6","8,8","9,2","8,5"
