"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,"70,4",69,"70,9","70,5","70,4","69,7","70,1","70,2"
1,"1. el Raval","57,8",61,"58,9","60,3","57,8","59,4","59,2","59,5"
1,"2. el Barri Gòtic","74,9","76,1","75,2","79,2","74,9","75,5","75,4","76,5"
1,"3. la Barceloneta","39,2","38,6","38,1","38,8","39,2","38,9","38,7","38,7"
1,"4. Sant Pere, Santa Caterina i la Ribera",65,"65,5","64,8","65,5",65,"65,3","65,1","65,2"
2,"5. el Fort Pienc","75,5","75,2","77,1","72,3","75,5","75,3","75,9","74,9"
2,"6. la Sagrada Família",66,"66,2","69,1","67,2",66,"66,1","67,1","67,2"
2,"7. la Dreta de l'Eixample","101,5","97,5","95,9","98,7","101,5","99,6","98,3","98,4"
2,"8. l'Antiga Esquerra de l'Eixample","86,3","83,5","82,8","85,9","86,3","84,8",84,"84,5"
2,"9. la Nova Esquerra de l'Eixample","74,1","71,5","74,3","75,4","74,1","72,8","73,3","73,9"
2,"10. Sant Antoni",73,"75,2","75,7","75,8",73,"74,1","74,7",75
3,"11. el Poble Sec - AEI Parc Montjuïc","57,2",58,"58,2",57,"57,2","57,6","57,8","57,6"
3,"12. la Marina del Prat Vermell - AEI Zona Franca","52,3","132,5",96,"nd","52,3","70,1","72,7","72,7"
3,"13. la Marina de Port","63,1","66,4","64,7","69,4","63,1","64,8","64,8","65,9"
3,"14. la Font de la Guatlla","65,8","66,7","68,3","63,7","65,8","66,3","67,1","66,1"
3,"15. Hostafrancs","62,8","61,1","62,5","62,5","62,8",62,"62,2","62,3"
3,"16. la Bordeta","65,7","65,4","64,8","66,8","65,7","65,6","65,3","65,7"
3,"17. Sants - Badal","60,6","64,9",62,"62,9","60,6","62,9","62,5","62,6"
3,"18. Sants","64,3","61,7","65,4","65,2","64,3","63,1","64,1","64,4"
4,"19. les Corts","75,3","76,8","76,1","76,3","75,3","76,1","76,1","76,1"
4,"20. la Maternitat i Sant Ramon","68,6","69,2","74,5","69,8","68,6","68,9","71,4",71
4,"21. Pedralbes","110,9","123,9","117,5","116,9","110,9","118,1","117,9","117,6"
5,"22. Vallvidrera, el Tibidabo i les Planes","63,9","71,5","80,7","90,6","63,9","67,8","70,3","74,7"
5,"23. Sarrià","79,9","74,5","76,6","86,2","79,9",77,"76,9","79,4"
5,"24. les Tres Torres","91,5","104,3","108,4","99,4","91,5","97,4","101,9","101,1"
5,"25. Sant Gervasi - la Bonanova","83,1","79,9","82,4","88,2","83,1","81,5","81,8","83,6"
5,"26. Sant Gervasi - Galvany","99,3","97,9","101,5","99,6","99,3","98,6","99,7","99,6"
5,"27. el Putxet i el Farró","71,3","70,7","69,2","72,8","71,3",71,"70,3",71
6,"28. Vallcarca i els Penitents","68,3","65,6",70,"66,1","68,3","67,1","68,1","67,5"
6,"29. el Coll","58,5","59,3","61,4","61,3","58,5","58,9","59,8","60,2"
6,"30. la Salut","67,7","64,2","72,1","66,6","67,7","66,2","68,2","67,7"
6,"31. la Vila de Gràcia","65,8","63,8","66,1","63,4","65,8","64,8","65,3","64,8"
6,"32. el Camp d'en Grassot i Gràcia Nova","70,6","68,2","66,8","68,4","70,6","69,4","68,4","68,4"
7,"33. el Baix Guinardó","64,3","62,1","64,8","67,4","64,3",63,"63,6","64,7"
7,"34. Can Baró","56,5","59,5","63,6","57,9","56,5","58,4","60,3","59,6"
7,"35. el Guinardó","62,4","63,8","62,7","62,8","62,4","63,1",63,"62,9"
7,"36. la Font d'en Fargues","60,3","62,3","66,9","68,6","60,3","61,3","63,6","64,9"
7,"37. el Carmel","58,4","59,4","59,7","57,4","58,4","58,9","59,1","58,7"
7,"38. la Teixonera","62,5","57,9",60,"60,6","62,5",60,60,"60,1"
7,"39. Sant Genís dels Agudells","73,6","71,9","73,1","71,7","73,6","72,8","72,9","72,6"
7,"40. Montbau","72,7","68,2","64,9","67,1","72,7",70,"67,9","67,7"
7,"41. la Vall d'Hebron","66,5","78,5","73,6","72,3","66,5","72,3","72,9","72,7"
7,"42. la Clota",34,"91,5",52,60,34,57,"55,1","55,7"
7,"43. Horta",63,"59,8","61,2",65,63,"61,5","61,4","62,3"
8,"44. Vilapicina i la Torre Llobeta","64,1","64,2","65,2","65,6","64,1","64,2","64,5","64,7"
8,"45. Porta","61,4","60,1","58,5","65,4","61,4","60,7",60,"61,6"
8,"46. el Turó de la Peira","62,3","59,4","57,6","62,9","62,3","60,8","59,8","60,6"
8,"47. Can Peguera",52,52,"53,5",47,52,52,"52,8","50,8"
8,"48. la Guineueta","69,6","70,5","70,9","73,3","69,6","69,9","70,3",71
8,"49. Canyelles","77,7",78,77,"81,3","77,7","77,8","77,6","78,6"
8,"50. les Roquetes","55,7","53,9",56,"55,5","55,7","54,8","55,2","55,2"
8,"51. Verdun","56,3","56,9","55,6",54,"56,3","56,6","56,3","55,7"
8,"52. la Prosperitat","59,3","57,5","57,2","56,2","59,3","58,2","57,9","57,4"
8,"53. la Trinitat Nova","51,2","51,7","57,9","55,6","51,2","51,4","53,5",54
8,"54. Torre Baró","61,1","66,6",60,"47,5","61,1","63,9","63,1","59,5"
8,"55. Ciutat Meridiana","56,7","59,4","59,3",58,"56,7","58,3","58,7","58,5"
8,"56. Vallbona","69,8",62,"63,8",73,"69,8","67,6","66,2","67,6"
9,"57. la Trinitat Vella",59,"58,9","58,5",59,59,"58,9","58,8","58,8"
9,"58. Baró de Viver","45,1",83,"62,3",77,"45,1","53,6","57,4","59,6"
9,"59. el Bon Pastor","60,4","67,8","62,9","62,4","60,4",64,"63,7","63,4"
9,"60. Sant Andreu","63,9","61,6","64,5","65,9","63,9","62,8","63,3",64
9,"61. la Sagrera","63,7","63,2","65,8","67,4","63,7","63,5","64,4","65,1"
9,"62. el Congrés i els Indians","66,4",65,"65,9","66,5","66,4","65,7","65,7","65,9"
9,"63. Navas","67,6","70,9","70,5","68,1","67,6",69,"69,6","69,2"
10,"64. el Camp de l'Arpa del Clot","62,6","64,3","63,6","62,2","62,6","63,5","63,5","63,1"
10,"65. el Clot","66,8","67,7","63,8",68,"66,8","67,2",66,"66,5"
10,"66. el Parc i la Llacuna del Poblenou","67,9","64,8",69,"67,5","67,9","66,1","67,2","67,3"
10,"67. la Vila Olímpica del Poblenou","84,5","80,1","86,9","88,2","84,5","82,1","83,8",85
10,"68. el Poblenou","62,1",64,66,"65,1","62,1","63,1",64,"64,3"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","173,6","99,3","135,2","79,9","173,6","144,1","141,7","129,6"
10,"70. el Besòs i el Maresme","61,5","59,6","64,4","64,2","61,5","60,6",62,"62,6"
10,"71. Provençals del Poblenou","72,2","68,3","68,9","71,8","72,2",70,"69,6","70,2"
10,"72. Sant Martí de Provençals",75,"70,6","73,2","69,5",75,"73,1","73,1","72,2"
10,"73. la Verneda i la Pau","66,5","67,9","70,4","67,8","66,5","67,2","68,4","68,3"
