,Dte.,Barris,1st Trim 2014,2nd Trim 2014,3rd Trim 2014,4th Trim 2014,1st Trim 2015,2nd Trim 2015,3rd Trim 2015,4th Trim 2015,1st Trim 2016,2nd Trim 2016,3rd Trim 2016,4th Trim 2016,1st Trim 2017,evolution_area
21,5,"22. Vallvidrera, el Tibidabo i les Planes",9,14,12.0,9.0,7,8,19,18,18,21,14,13,20.0,122.22222222222223
22,5,23. Sarrià,109,117,154.0,136.0,113,106,157,131,124,147,153,161,150.0,37.61467889908257
23,5,24. les Tres Torres,71,75,83.0,80.0,65,64,80,88,74,64,91,101,68.0,-4.225352112676056
24,5,25. Sant Gervasi - la Bonanova,120,158,200.0,185.0,145,180,198,209,170,164,195,198,174.0,45.0
25,5,26. Sant Gervasi - Galvany,293,318,354.0,375.0,260,298,344,363,325,326,379,365,400.0,36.51877133105802
26,5,27. el Putxet i el Farró,214,229,245.0,250.0,240,238,234,304,224,231,279,270,278.0,29.906542056074763
27,6,28. Vallcarca i els Penitents,75,97,107.0,115.0,81,108,95,133,122,96,107,134,134.0,78.66666666666666
28,6,29. el Coll,43,48,47.0,36.0,33,38,40,51,45,46,55,52,45.0,4.651162790697675
29,6,30. la Salut,77,76,72.0,86.0,77,58,62,87,78,66,73,83,86.0,11.688311688311687
30,6,31. la Vila de Gràcia,512,570,577.0,565.0,460,483,522,640,553,504,545,589,589.0,15.0390625
31,6,32. el Camp d'en Grassot i Gràcia Nova,199,217,248.0,273.0,226,239,211,265,212,211,261,219,239.0,20.100502512562816
32,7,33. el Baix Guinardó,141,163,150.0,147.0,129,141,145,190,121,164,151,173,174.0,23.404255319148938
33,7,34. Can Baró,47,50,69.0,47.0,32,53,63,63,38,55,53,61,56.0,19.148936170212767
34,7,35. el Guinardó,201,239,235.0,243.0,179,199,203,227,226,223,219,221,231.0,14.925373134328357
35,7,36. la Font d'en Fargues,21,27,27.0,18.0,26,26,24,34,27,28,36,32,29.0,38.095238095238095
36,7,37. el Carmel,150,166,157.0,164.0,149,143,114,153,163,155,145,150,184.0,22.666666666666664
37,7,38. la Teixonera,54,59,65.0,64.0,57,53,59,85,72,78,76,85,77.0,42.592592592592595
38,7,39. Sant Genís dels Agudells,32,40,45.0,53.0,21,43,37,45,44,42,36,42,40.0,25.0
39,7,40. Montbau,11,17,23.0,19.0,20,29,22,33,24,36,42,39,28.0,154.54545454545453
40,7,41. la Vall d'Hebron,11,16,13.0,9.0,13,14,12,23,17,16,26,18,19.0,72.72727272727273
41,7,42. la Clota,1,2,3.0,2.0,3,2,6,1,4,4,3,4,,
42,7,43. Horta,109,114,123.0,98.0,82,111,115,119,138,116,125,126,138.0,26.605504587155966
43,8,44. Vilapicina i la Torre Llobeta,125,108,111.0,102.0,98,101,80,116,111,131,102,106,152.0,21.6
44,8,45. Porta,120,132,127.0,142.0,110,117,141,122,108,131,112,138,110.0,-8.333333333333332
45,8,46. el Turó de la Peira,69,92,72.0,70.0,68,53,59,79,74,75,71,80,81.0,17.391304347826086
46,8,47. Can Peguera,15,7,11.0,,3,3,3,2,1,4,5,8,1.0,-93.33333333333333
47,8,48. la Guineueta,53,70,43.0,71.0,30,55,40,63,74,49,62,56,69.0,30.18867924528302
48,8,49. Canyelles,6,7,15.0,11.0,3,6,6,6,13,7,8,10,13.0,116.66666666666667
49,8,50. les Roquetes,61,67,73.0,71.0,67,61,64,56,70,74,56,64,62.0,1.639344262295082
50,8,51. Verdun,47,64,61.0,60.0,57,72,52,55,61,63,49,59,46.0,-2.127659574468085
51,8,52. la Prosperitat,114,125,118.0,134.0,92,118,108,145,99,132,117,125,102.0,-10.526315789473683
52,8,53. la Trinitat Nova,34,36,23.0,31.0,23,25,27,38,38,22,29,27,22.0,-35.294117647058826
53,8,54. Torre Baró,2,20,4.0,2.0,3,8,4,6,8,10,4,7,9.0,350.0
54,8,55. Ciutat Meridiana,40,30,39.0,37.0,30,26,23,36,24,37,30,31,30.0,-25.0
55,8,56. Vallbona,1,3,2.0,2.0,2,6,2,2,5,3,5,3,4.0,300.0
56,9,57. la Trinitat Vella,41,41,51.0,33.0,30,39,34,40,42,43,37,40,39.0,-4.878048780487805
57,9,58. Baró de Viver,5,16,3.0,4.0,8,7,6,4,7,2,7,2,4.0,-20.0
58,9,59. el Bon Pastor,38,36,45.0,40.0,37,44,40,52,48,46,33,32,42.0,10.526315789473683
59,9,60. Sant Andreu,267,249,272.0,250.0,210,226,231,267,253,232,242,234,267.0,0.0
60,9,61. la Sagrera,154,137,177.0,150.0,128,165,137,147,123,121,160,131,152.0,-1.2987012987012987
61,9,62. el Congrés i els Indians,71,54,82.0,77.0,57,59,53,71,62,63,57,55,79.0,11.267605633802818
62,9,63. Navas,101,93,128.0,113.0,122,112,106,109,97,74,99,103,110.0,8.91089108910891
