,Barris,1st Tri 2014,2nd Tri 2014,3rd Tri 2014,4th Tri 2014,1st Tri 2015,2nd Tri 2015,3rd Tri 2015,4th Tri 2015,1st Tri 2016,2nd Tri 2016,3rd Tri 2016,4th Tri 2016,1st Tri 2017,Evolution
35,36. la Font d'en Fargues,585.45,"772,41","703,15","784,44","733,8","749,2","611,0","775,3",749.8,689.7,675.7,761.3,812.9,38.85045691348534
36,37. el Carmel,478.70,"495,01","498,79","506,26","485,7","504,6","528,0","528,8",518.2,550.3,557.6,597.1,597.1,24.733653645289333
37,38. la Teixonera,492.79,"476,94","469,77","506,77","505,0","547,2","498,0","527,5",513.5,544.6,570.1,672.6,663.9,34.722701353517714
38,39. Sant Genís dels Agudells,557.00,"568,75","542,51","550,45","543,3","558,5","554,0","545,8",616.4,592.4,603.8,623.6,622.3,11.723518850987425
39,40. Montbau,537.94,"535,88","578,50","544,47","608,9","621,8","626,0","654,1",614.8,635.1,646.4,668.5,716.4,33.174703498531414
40,41. la Vall d'Hebron,737.73,"675,63","715,00","672,22","740,0","701,4","655,0","689,8",692.4,786.3,796.9,778.7,816.1,10.623127702547002
41,42. la Clota,nan,,,,,,"368,0",,,,,,,
42,43. Horta,556.30,"566,67","562,86","585,58","585,5","568,3","572,0","594,2",601.3,620.1,634.4,668.7,669.9,20.420636347294632
43,44. Vilapicina i la Torre Llobeta,555.89,"573,24","567,26","579,11","561,6","583,1","581,0","615,1",618.6,617.0,640.5,684.2,687.4,23.6575581499937
44,45. Porta,523.29,"517,06","522,70","552,56","545,9","556,5","542,0","577,5",536.7,574.4,617.2,672.6,654.6,25.093160580175443
45,46. el Turó de la Peira,475.06,"461,25","459,42","501,06","456,0","485,4","509,0","555,2",537.9,547.7,538.1,582.1,587.0,23.563339367658823
46,47. Can Peguera,241.99,"295,39","145,45",,,,,,,,,301.8,,
47,48. la Guineueta,613.58,"613,14","607,74","620,83","626,2","562,5","555,0","538,1",589.2,614.0,632.3,666.8,634.5,3.409498353922872
48,49. Canyelles,563.33,"474,29","532,67","566,36",,"575,8","558,0","598,0",619.9,621.4,648.8,617.5,689.6,22.414925532103737
49,50. les Roquetes,461.28,"448,60","444,29","450,40","461,9","466,9","476,0","448,6",455.7,475.4,512.3,523.0,504.3,9.326222684703444
50,51. Verdun,503.47,"465,56","484,98","502,41","469,8","419,8","506,0","503,3",539.6,526.2,495.5,565.9,595.5,18.279142749319714
51,52. la Prosperitat,521.81,"501,40","479,48","515,99","515,5","531,3","544,0","528,7",518.0,550.3,584.5,589.2,624.6,19.69874092102491
52,53. la Trinitat Nova,442.94,"449,31","416,65","420,98","433,8","456,7","466,0","438,9",423.2,450.9,419.5,438.6,540.7,22.070709351153667
53,54. Torre Baró,nan,"320,21",,,,"420,6",,"366,7",392.4,447.0,0.0,416.4,418.1,
54,55. Ciutat Meridiana,359.27,"406,17","372,44","360,94","401,2","399,2","381,0","400,3",344.3,428.0,373.1,446.1,459.2,27.81473543574471
55,56. Vallbona,nan,,,,,"450,0",,,418.0,,,,,
56,57. la Trinitat Vella,461.10,"407,26","419,12","400,76","383,6","465,0","449,0","455,9",422.4,483.2,459.8,552.8,497.8,7.959227933203207
57,58. Baró de Viver,nan,"231,40",,,"303,8","362,9","187,0",,142.3,,256.4,,,
58,59. el Bon Pastor,488.14,"476,31","503,93","514,58","504,3","526,1","577,0","539,3",472.4,588.2,558.4,555.1,622.8,27.586348178801156
59,60. Sant Andreu,581.16,"573,12","593,22","557,10","586,0","609,6","631,0","622,9",624.8,663.3,658.5,690.6,708.6,21.92855667974397
60,61. la Sagrera,626.26,"622,71","570,36","616,27","619,2","608,6","637,0","682,4",658.1,620.0,670.2,709.1,575.2,-8.153163222942538
61,62. el Congrés i els Indians,563.42,"556,26","596,63","607,77","595,4","594,3","636,0","618,9",613.7,635.8,691.9,662.3,696.0,23.53129104398141
62,63. Navas,613.47,"590,17","635,11","647,84","665,9","650,8","685,0","688,4",665.3,704.4,712.3,768.7,716.8,16.843529430942006
63,64. el Camp de l'Arpa del Clot,580.09,"592,63","604,83","615,61","615,5","624,2","669,0","660,7",659.6,690.8,715.5,720.4,756.6,30.428037028736917
64,65. el Clot,604.85,"641,11","607,62","643,75","618,6","637,0","673,0","672,1",645.4,688.9,708.8,728.9,775.0,28.130941555757623
65,66. el Parc i la Llacuna del Poblenou,704.67,"678,23","739,94","634,12","722,2","755,4","774,0","737,3",799.6,759.1,839.1,886.7,850.7,20.723175387060625
66,67. la Vila Olímpica del Poblenou,926.43,"988,89","1.121,06","991,06","1.093,1","1.116,3","1.173,0","1.015,1",1136.0,1151.5,1142.8,1285.6,1108.4,19.642066858802085
67,68. el Poblenou,663.93,"644,01","652,23","658,01","682,8","711,5","764,0","773,5",719.1,785.1,828.6,840.8,868.9,30.87223050622807
68,69. Diagonal Mar i el Front Marítim del Poblenou,866.70,"817,93","896,42","1.130,29","914,8","981,9","1.023,0","1.211,0",1004.5,1116.1,1268.5,1181.2,1148.2,32.479520018460825
69,70. el Besòs i el Maresme,516.90,"480,69","423,45","504,19","512,9","506,0","516,0","492,1",506.7,521.1,556.5,571.6,588.9,13.929193267556588
70,71. Provençals del Poblenou,635.70,"643,46","630,29","649,21","612,1","670,4","679,0","685,3",758.8,727.8,856.6,987.2,999.6,57.24398301085417
71,72. Sant Martí de Provençals,643.66,"641,75","614,55","636,30","662,3","697,3","672,0","666,8",688.5,679.3,716.2,720.7,742.1,15.293788646179667
72,73. la Verneda i la Pau,568.68,"569,14","569,84","552,58","609,2","595,4","633,0","602,2",597.9,613.2,617.0,591.9,677.9,19.20588028416685
