,Unnamed: 0,Dte.,Barris,average_area,average_rent,average_rent_per_m2,number_contracts,area_evol,rent_m2_evol,contracts_evol,rent_evol
0,1,1.0,1. el Raval,"59,7",735,"13,5",484,-1.1589403973509862,25.464684014869892,35.95505617977528,24.671359511491826
1,2,1.0,2. el Barri Gotic,"73,2","905,3","14,1",203,-6.274007682458377,33.2703213610586,50.37037037037037,27.00795465705187
2,3,1.0,3. la Barceloneta,"39,4","722,8","19,5",214,0.0,35.416666666666664,64.61538461538461,33.67609254498713
3,4,1.0,"4. Sant Pere, Santa Caterina i la Ribera","66,6","895,3",15,316,-1.9145802650957455,36.23978201634878,61.224489795918366,32.94428605369445
4,5,2.0,5. el Fort Pienc,"73,7","871,1","12,8",240,-2.8985507246376847,22.840690978886762,18.226600985221676,18.34150715265796
5,6,2.0,6. la Sagrada Familia,"69,7",847,13,378,5.766312594840663,23.22274881516587,26.845637583892618,25.785229517204506
6,7,2.0,7. la Dreta de l'Eixample,"99,6","1151,1","12,8",435,-2.448579823702253,30.081300813008138,39.42307692307692,24.929455176904703
7,8,2.0,8. l'Antiga Esquerra de l'Eixample,"82,5","1001,5","13,2",405,-4.403244495944377,27.536231884057973,15.056818181818182,20.973099641248023
8,9,2.0,9. la Nova Esquerra de l'Eixample,"76,1","909,1",13,450,3.5374149659863865,25.968992248062012,5.14018691588785,26.946224847443904
9,10,2.0,10. Sant Antoni,"76,7",877,"12,4",255,1.8592297476759705,26.919140225179127,-10.839160839160838,26.472751395238177
10,11,3.0,11. el Poble Sec,"58,9","715,7",13,266,0.0,27.701375245579573,-1.4814814814814816,26.00352112676057
11,12,3.0,12. la Marina del Prat Vermell - AEI Zona Franca,70,nd,nd,1,0.0,,0.0,
12,13,3.0,13. la Marina de Port,"72,5","689,2","9,9",91,5.072463768115942,18.705035971223026,9.63855421686747,24.505464727666894
13,14,3.0,14. la Font de la Guatlla,"66,9","806,3","12,6",62,6.022187004754365,16.34349030470914,10.714285714285714,27.68012668250197
14,15,3.0,15. Hostafrancs,"58,8","680,2","12,4",130,-2.8099173553719057,19.23076923076923,11.11111111111111,17.13247576242875
15,16,3.0,16. la Bordeta,"70,8","739,3","10,9",100,4.270986745213536,15.221987315010566,12.359550561797752,22.250884677712726
16,17,3.0,17. Sants - Badal,"57,7","697,6","12,9",153,-5.409836065573765,29.77867203219317,2.684563758389262,19.396854194122586
17,18,3.0,18. Sants,"61,7","737,3",13,302,-3.7441497659906267,31.445904954499486,-4.430379746835443,21.81139307427967
18,19,4.0,19. les Corts,"73,5","936,3","13,6",304,0.2728512960436601,19.40298507462686,36.93693693693694,20.46627124531991
19,20,4.0,20. la Maternitat i Sant Ramon,"71,7","896,4","13,2",120,-0.9668508287292855,31.736526946107784,20.0,28.02787934186472
20,21,4.0,21. Pedralbes,"121,9","1856,6",16,40,9.918845807033364,42.98480786416444,-20.0,50.943089430894304
21,22,5.0,"22. Vallvidrera, el Tibidabo i les Planes","96,6",1248,"10,1",20,-19.900497512437813,27.848101265822773,122.22222222222223,49.045179319981365
22,23,5.0,23. Sarria,"81,2","1291,5","16,3",150,-6.666666666666663,29.160063391442172,37.61467889908257,23.92530897367006
23,24,5.0,24. les Tres Torres,"102,5","1516,5","16,1",68,4.805725971370147,21.326299924642065,-4.225352112676056,24.727556853230258
24,25,5.0,25. Sant Gervasi - la Bonanova,"84,7","1182,1","14,6",174,-10.084925690021231,27.399650959860374,45.0,27.432273643586335
25,26,5.0,26. Sant Gervasi - Galvany,"99,9","1268,6","14,1",400,3.630705394190871,16.72185430463576,36.51877133105802,20.394799278732073
26,27,5.0,27. el Putxet i el Farro,"69,7","913,5",15,278,-7.926023778071334,35.623869801084986,29.906542056074763,21.663736614991205
27,28,6.0,28. Vallcarca i els Penitents,"70,9","946,6","14,1",134,-4.4474393530997265,38.50687622789784,78.66666666666666,39.27552011299768
28,29,6.0,29. el Coll,"60,4","687,4",12,45,-5.919003115264804,22.824974411463668,4.651162790697675,17.719589676844834
29,30,6.0,30. la Salut,"75,1","841,4","12,5",86,8.840579710144919,22.549019607843146,11.688311688311687,32.61253309796998
30,31,6.0,31. la Vila de Gracia,"63,8","837,1","14,9",589,-0.15649452269170802,28.55910267471959,15.0390625,23.13915857605179
31,32,6.0,32. el Camp d'en Grassot i Gracia Nova,"68,7","839,3","12,9",239,-0.8658008658008577,25.364431486880477,20.100502512562816,25.081967213114748
32,33,7.0,33. el Baix Guinardo,"63,9","743,9","12,7",174,-6.304985337243407,31.87954309449635,23.404255319148938,19.477057000144544
33,34,7.0,34. Can Baro,"57,8","637,3","11,9",56,-1.3651877133105874,19.358074222668,19.148936170212767,12.015326747987466
34,35,7.0,35. el Guinardo,"62,5","722,7","12,3",231,-5.303030303030303,31.550802139037447,14.925373134328357,23.2225063938619
35,36,7.0,36. la Font d'en Fargues,"64,8","812,9","14,9",29,-1.0687022900763403,60.90712742980562,38.095238095238095,38.85045691348534
36,37,7.0,37. el Carmel,"55,2","597,1","11,5",184,-7.692307692307683,36.74197384066587,22.666666666666664,24.733653645289333
37,38,7.0,38. la Teixonera,"63,4","663,9","10,7",77,4.620462046204616,25.586854460093893,42.592592592592595,34.722701353517714
38,39,7.0,39. Sant Genis dels Agudells,"71,2","622,3",9,40,-1.928374655647371,16.580310880829018,25.0,11.723518850987425
39,40,7.0,40. Montbau,63,"716,4",13,28,4.82529118136439,37.13080168776371,154.54545454545453,33.174703498531414
40,41,7.0,41. la Vall d'Hebron,"75,3","816,1","11,7",19,8.34532374100719,10.481586402266284,72.72727272727273,10.623127702547002
41,42,7.0,42. la Clota,nd,nd,nd,nd,,,,
42,43,7.0,43. Horta,"62,4","669,9","11,2",138,-5.454545454545457,26.55367231638418,26.605504587155966,20.420636347294632
43,44,8.0,44. Vilapicina i la Torre Llobeta,"65,1","687,4","11,2",152,0.1538461538461451,26.55367231638418,21.6,23.6575581499937
44,45,8.0,45. Porta,"64,8","654,6","10,2",110,2.0472440944881845,18.881118881118873,-8.333333333333332,25.093160580175443
45,46,8.0,46. el Turo de la Peira,59,587,"10,3",81,-13.107511045655382,35.70487483530963,17.391304347826086,23.563339367658823
46,47,8.0,47. Can Peguera,52,nd,nd,1,33.67609254498715,,-93.33333333333333,
47,48,8.0,48. la Guineueta,"68,9","634,5","9,1",69,-10.169491525423725,12.207151664611594,30.18867924528302,3.409498353922872
48,49,8.0,49. Canyelles,"85,9","689,6",8,13,6.04938271604939,8.843537414965992,116.66666666666667,22.414925532103737
49,50,8.0,50. les Roquetes,"57,2","504,3","9,4",62,3.6231884057971016,10.19929660023448,1.639344262295082,9.326222684703444
50,51,8.0,51. Verdun,"55,3","595,5","11,3",46,-4.490500863557861,25.138427464008878,-2.127659574468085,18.279142749319714
51,52,8.0,52. la Prosperitat,57,"624,6","11,6",102,-4.362416107382552,28.46068660022149,-10.526315789473683,19.69874092102491
52,53,8.0,53. la Trinitat Nova,"55,1","540,7",10,22,8.039215686274513,11.607142857142847,-35.294117647058826,22.070709351153667
53,54,8.0,54. Torre Baro,"58,6","418,1","7,3",9,-24.387096774193548,,350.0,
54,55,8.0,55. Ciutat Meridiana,59,"459,2","7,9",30,1.7241379310344827,26.805778491171743,-25.0,27.81473543574471
55,56,8.0,56. Vallbona,"88,3",nd,nd,4,16.184210526315788,,300.0,
56,57,9.0,57. la Trinitat Vella,58,"497,8","9,4",39,-0.8547008547008548,13.52657004830919,-4.878048780487805,7.959227933203207
57,58,9.0,58. Baro de Viver,"69,3",nd,nd,4,20.312499999999993,,-20.0,
58,59,9.0,59. el Bon Pastor,68,"622,8","9,2",42,8.62619808306709,13.720642768850425,10.526315789473683,27.586348178801156
59,60,9.0,60. Sant Andreu,"62,8","708,6","12,4",267,-5.705705705705702,32.05537806176784,0.0,21.92855667974397
